NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
HUJ06002	ime -ł -ən	жена 3SG LOC	p	obj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
HUJ06003	xɔt	дом	p	obj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ06101	owəs	север	i	obj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ06102	in owəs jorən	этот север ненец	i	obj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1
HUJ06103	in owəs jorən ar ike -ł	этот север ненец много муж 3SG	i	obj	s	1	3s	dis	nul	nul	in	0	s	hum	sbj	1	1
HUJ06104	xɔt	дом	i	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ06105	xɔt tij	дом конец	i	obj	s	0	n	n	nul	nul	nul	1	s	non	obj	1	1
HUJ06106	tińśaŋ -ən	аркан LOC	i	obj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1
HUJ06301	aśe -ł iki	отец 3SG мужчина	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
HUJ06302	xɔt	дом	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ06303	xɔt tij	дом конец	p	sbj	s	0	n	n	psp	nul	nul	1	s	non	pob	1	1
HUJ06304	i kur	один нога	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ06305	i kur puŋł -əł	один нога бок 3SG	p	sbj	s	1	3s	prt	nul	nul	nul	0	s	non	sbj	1	1
HUJ06306	šǫp -a	кусок DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
HUJ06401	ime -ł	жена 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
HUJ06501	jiŋk wɔj	вода зверь	p	obj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ06502	jiŋk wɔj pɔrxa -j -əł	вода зверь мужская верхняя одежда STEM 3SG	p	obj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
HUJ06601	pɔrxa -j -əł	мужская верхняя одежда STEM 3SG	p	obj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
HUJ06602	xɔt	дом	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ06603	xɔt tij	дом конец	p	sbj	s	0	n	n	psp	nul	nul	1	s	non	pob	1	1
HUJ06701	łǫxs -əł	друг 3SG	p	sbj	s	1	3s	rel	psp	nul	nul	0	s	hum	pob	1	1
HUJ06702	łǫxs -əł	друг 3SG	p	sbj	s	1	3s	rel	nul	nul	nul	0	s	hum	obj	1	1
HUJ06801	in jorn -ət	этот ненец PL	i	sbj	s	0	n	n	nul	nul	nul	0	p	hum	sbj	1	1
HUJ06802	xɔt -əł	дом 3SG	p	sbj	s	1	3s	own	nul	nul	nul	0	s	non	sbj	1	1
HUJ06803	tǫrəm -a	небо DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
HUJ06804	i kurek	один утка	p	sbj	s	0	n	n	nul	nul	nul	0	nu	anm	gen	0	0
HUJ06805	i kurek sapəł	один утка шея	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	sbj	0	0
HUJ06901	owəs	север	p	obj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ06902	in owəs jorən	этот север ненец	p	obj	s	0	n	n	nul	nul	in	0	s	hum	obj	1	1
HUJ06903	in owəs jorən ar iki	этот север ненец много мужчина	p	obj	s	0	n	n	nul	nul	in	0	nu	hum	obj	1	1
HUJ06904	kăt xǫ -j -ən	два мужчина STEM 2/3DU	p	obj	s	1	2/3d	dis	nul	nul	nul	0	nu	hum	sbj	1	1
HUJ07001	in łǫxs -əł	этот друг 3SG	p	sbj	s	1	3s	rel	nul	nul	in	0	s	hum	sbj	1	1
HUJ07101	owəs	север	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ07102	owəs jorən	север ненец	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ07103	owəs jorən ar ike -ł	север ненец много мужчина 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
HUJ07104	tăxi -j -a	место STEM DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
HUJ07201	śɔrəs	море	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ07202	i xǫ	один мужчина	i	sbj	s	0	n	n	nul	nul	nul	0	nu	hum	sbj	1	1
HUJ07203	xǫłəm piti xɔptərka	три черный яловая важенка	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	1	1
HUJ07301	tǫtʼłəm nԑŋ -əł	бывший женщина 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	prd	1	1
HUJ07401	in ot -əł	этот вещь 3SG	p	obj	s	1	3s	dis	nul	nul	nul	0	s	non	obj	1	1
HUJ07501	owəs	север	p	obj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ07502	owəs śɔrəs	север море	p	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ07503	owəs śɔrəs kiməł	север море берег	p	obj	s	0	n	n	nul	nul	nul	1	s	non	obj	1	1
