NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
SG03105	ńoł	нос	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
SG03106	ńoł tij -əł	нос конец 3SG	i	sbj	s	1	3s	bod	psp	nul	nul	1	s	non	pob	1	1
SG03107	pԑłŋa	комар	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1
SG03201	łɔśsԑm -ije	снежинка DIM	p	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG03202	woxsar imi	лиса женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	1	1
SG03203	woxsar imi łiw	лиса женщина хвост	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	obj	1	1
SG03204	xɔłłəp -əł	слеза 3SG	p	sbj	s	1	3s	oth	nul	nul	nul	0	s	non	sbj	1	1
SG03301	woxsar	лиса	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	1	1
SG03303	woxsar pun -əŋ łiw	лиса шерсть ATTR хвост	i	sbj	s	0	n	n	psp	nul	nul	1	s	non	pob	1	1
SG03401	tăxe -ł	место 3SG	i	sbj	s	1	3s	dis	psp	nul	nul	0	s	non	pob	1	1
SG03402	aŋke -ł	мать 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG03403	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG03501	łin łiw -ŋəł -ən	они.DU хвост DU.POSS 2/3DU	p	sbj	s	1	2/3d	bod	psp	nul	nul	1	s	non	pob	1	1
SG03701	aŋkԑ -m	мать 1SG	i	sbj	s	1	1s	fam	nul	nul	nul	0	s	anm	sbj	1	1
SG03702	aśԑ -m	отец 1SG	i	sbj	s	1	1s	fam	nul	nul	nul	0	s	anm	sbj	1	1
SG03703	łiw	хвост	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
SG03801	łuw łiw -əł	он хвост 3SG	p	sbj	s	1	3s	bod	psp	nul	nul	1	s	non	pob	1	1
SG03901	łiw -əł	хвост 3SG	p	obj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
SG04001	pɔxəł	клубок.3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	app	1	1
SG04002	łiw -əł	хвост 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
SG04101	łiw -lԑ	хвост DIM	i	sbj	s	0	n	n	nul	dim	nul	0	s	non	obj	1	1
SG04201	woxsar imi	лиса женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG04202	xoras -əp łiw	вид ATTR хвост	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
SG04301	aŋke -ł -ən	мать 3SG LOC	i	sbj	s	1	3s	fam	loc	nul	nul	0	s	anm	iob	1	1
SG04302	aśe -ł -ən	отец 3SG LOC	i	sbj	s	1	3s	fam	loc	nul	nul	0	s	anm	iob	1	1
SG04303	wǫnt	лес	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
SG04501	woxsar imi	лиса женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG04601	ma katra łiw -ԑm	я старый хвост 1SG	p	obj	s	1	1s	bod	nul	nul	nul	0	s	non	obj	1	1
SG04701	katra ponrəmtəm łiw -əł	старый ободранный хвост 3SG	p	obj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
SG04702	nɔxər jux	кедр дерево	p	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	1
SG04703	nɔxər jux łԑr -ən	кедр дерево корень LOC	p	obj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	1
SG04704	šɔwər -lԑ	заяц DIM	p	obj	s	0	n	n	nul	dim	nul	0	s	anm	gen	1	1
SG04705	šɔwər -lԑ łiw -a	заяц DIM хвост DAT	p	obj	s	0	n	n	dat	nul	nul	1	s	non	iob	1	1
SG04801	jiłəp łiw -en	новый хвост 2SG	p	sbj	s	1	2s	bod	nul	nul	nul	0	s	non	obj	1	1
SG04901	łɔśsԑm -ije	снежинка DIM	p	sbj	a	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG04902	tăxe -ł	место 3SG	p	sbj	s	1	3s	dis	psp	nul	nul	0	s	non	pob	0	0
SG04903	aŋke -ł	мать 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG04904	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG04905	aŋke -ł	мать 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG04906	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	anm	pob	1	1
SG04907	łiw -əł -ən	хвост 3SG LOC	p	sbj	s	1	3s	bod	loc	nul	nul	0	s	non	obj	1	1
SG04908	wǫnt -a	лес DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
SG04909	amt -əŋ uw	радость ATTR крик	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	0
SG05001	wɔj -ət	зверь PL	p	sbj	s	0	n	n	nul	nul	nul	0	p	anm	nul	1	1
SG05002	mojsər wǫn pa xoraməŋ łiw	какой большой и красивый хвост	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
SG05101	šɔwr -ət	заяц PL	i	sbj	s	0	n	n	psp	nul	nul	0	p	anm	pob	0	1
SG05102	tăməś łiw	такой хвост	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
SG05201	wɔj -ət	зверь PL	i	sbj	s	0	n	n	nul	nul	nul	0	p	anm	sbj	1	1
SG05301	šɔwər -lԑ	заяц DIM	p	sbj	s	0	n	n	nul	dim	nul	0	s	anm	gen	1	1
SG05302	šɔwər -lԑ săm -əł	заяц DIM сердце 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	1	s	non	sbj	1	1
SG05303	lipət	цветок	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
SG05501	jux -ət	дерево PL	i	sbj	s	0	n	n	psp	nul	nul	0	p	non	pob	0	1
SG05502	łiw -əł	хвост 3SG	i	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	sbj	1	1
SG05601	kurək	орел	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG05602	łɔśsԑm -ije	снежинка DIM	p	sbj	a	0	n	n	nul	dim	nul	0	s	anm	gen	1	1
